datetime,CDD,CWD,Prcp1,SDII,,,year,month
1977-09-30,7.0,4.0,46.666666666666664,10.573571428571428,1977,Sep,1977,Sep
1977-10-31,9.0,4.0,35.483870967741936,10.480000000000002,1977,Oct,1977,Oct
1977-11-30,3.0,3.0,40.0,8.431666666666667,1977,Nov,1977,Nov
1977-12-31,5.0,5.0,41.935483870967744,7.1246153846153835,1977,Dec,1977,Dec
1978-01-31,4.0,4.0,48.38709677419355,9.292666666666666,1978,Jan,1978,Jan
1978-02-28,21.0,1.0,3.571428571428571,12.97,1978,Feb,1978,Feb
1978-03-31,10.0,3.0,29.03225806451613,13.091111111111111,1978,Mar,1978,Mar
1978-04-30,9.0,3.0,30.0,7.82888888888889,1978,Apr,1978,Apr
1978-05-31,9.0,2.0,25.806451612903224,5.577500000000001,1978,May,1978,May
1978-06-30,4.0,3.0,40.0,7.577500000000001,1978,Jun,1978,Jun
1978-07-31,10.0,2.0,22.58064516129032,7.404285714285714,1978,Jul,1978,Jul
1978-08-31,6.0,2.0,32.25806451612903,9.913,1978,Aug,1978,Aug
1978-09-30,4.0,2.0,26.666666666666668,4.8125,1978,Sep,1978,Sep
1978-10-31,6.0,2.0,32.25806451612903,9.028,1978,Oct,1978,Oct
1978-11-30,12.0,2.0,23.333333333333332,12.80285714285714,1978,Nov,1978,Nov
1978-12-31,3.0,3.0,51.61290322580645,6.828125,1978,Dec,1978,Dec
1979-01-31,4.0,3.0,48.38709677419355,10.007333333333333,1979,Jan,1979,Jan
1979-02-28,12.0,2.0,28.57142857142857,4.45875,1979,Feb,1979,Feb
1979-03-31,14.0,3.0,29.03225806451613,6.626666666666667,1979,Mar,1979,Mar
1979-04-30,9.0,3.0,40.0,10.403333333333334,1979,Apr,1979,Apr
1979-05-31,7.0,7.0,45.16129032258064,6.441428571428571,1979,May,1979,May
1979-06-30,10.0,2.0,23.333333333333332,4.720000000000001,1979,Jun,1979,Jun
1979-07-31,8.0,2.0,29.03225806451613,4.415555555555556,1979,Jul,1979,Jul
1979-08-31,4.0,2.0,35.483870967741936,9.182727272727272,1979,Aug,1979,Aug
1979-09-30,12.0,1.0,13.793103448275861,12.372499999999999,1979,Sep,1979,Sep
1979-10-31,4.0,5.0,45.16129032258064,6.950714285714286,1979,Oct,1979,Oct
1979-11-30,7.0,4.0,43.333333333333336,5.596923076923077,1979,Nov,1979,Nov
1979-12-31,5.0,5.0,32.25806451612903,6.582000000000001,1979,Dec,1979,Dec
